storm.id  storm.name  n.obs  storm.duration  storm.pdi  max.wind  storm.year
EP142001  UNNAMED  5  108000  330107617.059259  30  2001
EP142002  KENNA  17  367200  49709869412.1074  145  2002
EP142003  NORA  31  669600  20025180890.0926  90  2003
EP142004  KAY  12  259200  806888885.796296  40  2004
EP142005  NORMA  33  712800  3687427067.61852  50  2005
EP142006  MIRIAM  22  475200  1757878201.31111  40  2006
EP142009  KEVIN  39  842400  2646007380.39259  45  2009
EP142012  NORMAN  9  194400  1068622319.36667  45  2012
EP142013  NARDA  24  518400  3289312870.20741  55  2013
EP142014  NORBERT  35  756000  27917620242.2778  110  2014
EP142015  KEVIN  23  496800  3326808390.18518  50  2015
EP142016  MADELINE  33  712800  31282291755.5778  115  2016
EP151982  OLIVIA  29  626400  47062391619.1667  125  1982
EP151983  OCTAVE  20  432000  2151213557.94074  45  1983
EP151986  ORLENE  17  367200  8357457320.53703  70  1986
EP151987  OTIS  28  604800  37966419596.3222  100  1987
EP151990  LOWELL  36  777600  11600452195.4778  65  1990
EP151991  MARTY  45  972000  14446803285.5556  70  1991
EP151992  MADELINE  15  324000  2469557874.61481  45  1992
EP151993  MAX  17  367200  1860807079.68148  40  1993
EP151994  MIRIAM  24  518400  2329501079.4037  40  1994
EP151997  MARTY  16  345600  1603117280.61852  40  1997
EP151998  MADELINE  17  367200  10779594390.4741  75  1998
EP152001  MANUEL  31  669600  4327791732.33704  50  2001
EP152002  LOWELL  34  734400  3762418107.57407  45  2002
EP152003  OLAF  20  432000  6202567731.22593  65  2003
EP152004  LESTER  8  172800  1059064637.8037  45  2004
EP152005  OTIS  31  669600  14530616800.8  90  2005
EP152006  NORMAN  28  604800  2421769466.8  45  2006
EP152009  LINDA  37  799200  9783389889.1037  70  2009
EP152012  OLIVIA  17  367200  3088969160.52222  50  2012
EP152013  OCTAVE  14  302400  3254390572.18889  55  2013
EP152014  ODILE  35  756000  37636679582.4  120  2014
EP152015  LINDA  41  885600  27268433102.2704  110  2015
EP152016  NEWTON  17  367200  8777627706.17037  80  2016
EP161982  PAUL  47  1015200  23117826081.9852  95  1982
EP161983  PRISCILLA  26  561600  24268791504.0481  100  1983
EP161986  PAINE  20  432000  10695045668.9556  85  1986
EP161987  PILAR  5  108000  443696986.403704  35  1987
EP161990  MARIE  55  1188000  94628767139.2111  120  1990
EP161991  NORA  24  518400  16019777108.937  90  1991
EP161992  NEWTON  18  388800  2865098850.06667  45  1992
EP161993  NORMA  16  345600  1891685743.19259  45  1993
EP161994  NORMAN  12  259200  1085899666.80741  35  1994
EP161997  NORA  41  885600  60130683140.8333  115  1997
EP162001  NARDA  20  432000  7906040668.25555  75  2001
EP162002  UNNAMED  10  216000  637791442.759259  30  2002
EP162003  PATRICIA  25  540000  7421907336.77778  70  2003
EP162004  UNNAMED  7  151200  488912172.259259  30  2004
EP162005  SIXTEEN  26  561600  1740968457.00741  30  2005
EP162006  OLIVIA  21  453600  1652008497.84444  40  2006
EP162009  MARTY  30  648000  2387214771.91852  40  2009
EP162012  PAUL  19  410400  17576943997.4259  105  2012
EP162013  PRISCILLA  21  453600  1692444842.91852  40  2013
EP162014  SIXTEEN  25  540000  1884701283.58889  30  2014
EP162015  SIXTEEN  4  86400  317609110.4  30  2015
EP162016  ORLENE  28  604800  22437392675.3296  95  2016
EP171982  ROSA  25  540000  2820618870.48518  45  1982
EP171983  RAYMOND  51  1101600  85374725767.4407  125  1983
EP171986  ROSLYN  28  604800  59023830095.2148  125  1986
EP171987  RAMON  27  583200  55034968455.2259  120  1987
EP171990  NORBERT  39  842400  13325246114.4556  70  1990
EP171992  ORLENE  49  1058400  98239365151.1889  125  1992
EP171993  UNNAMED  10  216000  637791442.759259  30  1993
EP171994  OLIVIA  31  669600  48521040866.9296  130  1994
EP171997  OLAF  66  1425600  7452786000.28889  60  1997
EP172001  OCTAVE  16  345600  7028939583.28518  75  2001
EP172006  PAUL  21  453600  12051133641.4852  90  2006
EP172009  NORA  31  669600  2787166985.01481  50  2009
EP172012  ROSA  27  583200  4067161108.17778  45  2012
EP172013  RAYMOND  50  1080000  39704447228.2333  110  2013
